capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970320.000000,1.000000,0.000000,1777970348.443573,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970321.000000,1.000000,1.000000,1777970348.443573,normal,http,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.000000,808.000000,1.000000,1.000000,2.000000,1616.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970322.000000,1.000000,2.000000,1777970348.443573,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.666667,538.666667,0.666667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970323.000000,1.000000,3.000000,1777970348.443573,normal,http,2,200,2.000000,1600.000000,100.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.000000,804.000000,1.000000,1.000000,0.400000,318.400000,0.400000,0.400000,0.000000,0.000000,0.000000,0.000000
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970324.000000,1.000000,4.000000,1777970348.443573,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,643.200000,0.800000,0.800000,0.000000,-1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970325.000000,1.000000,5.000000,1777970348.443573,normal,http,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.200000,966.400000,1.200000,1.200000,0.000000,0.000000,0.000000,0.000000,1.224745,1.234875,1.224745,1.224745
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970326.000000,1.000000,6.000000,1777970348.443573,normal,http,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.200000,968.000000,1.200000,1.200000,0.400000,326.400000,0.400000,0.400000,1.000000,1.016534,1.000000,1.000000
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970327.000000,1.000000,7.000000,1777970348.443573,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.200000,968.000000,1.200000,1.200000,-0.200000,-157.600000,-0.200000,-0.200000,-1.154701,-1.154661,-1.154701,-1.154701
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970328.000000,1.000000,8.000000,1777970348.443573,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,648.000000,0.800000,0.800000,-0.200000,-161.600000,-0.200000,-0.200000,-1.000000,-0.999971,-1.000000,-1.000000
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970329.000000,1.000000,9.000000,1777970348.443573,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,648.000000,0.800000,0.800000,-0.600000,-485.600000,-0.600000,-0.600000,-0.894427,-0.894404,-0.894427,-0.894427
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970330.000000,1.000000,10.000000,1777970348.443573,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,-0.400000,-324.800000,-0.400000,-0.400000,-0.816497,-0.816477,-0.816497,-0.816497
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970331.000000,1.000000,11.000000,1777970348.443573,normal,http,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.400000,324.800000,0.400000,0.400000,0.400000,324.800000,0.400000,0.400000,1.322876,1.335725,1.322876,1.322876
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970332.000000,1.000000,12.000000,1777970348.443573,normal,http,4,405,4.000000,3240.000000,101.250000,4,0,0,1.000000,0.000000,0.000000,0,4,0,0.000000,1.000000,0.000000,3,3,3,3,4,0.666667,4,4,2,2,5.000000,1.200000,972.800000,1.000000,1.200000,1.000000,810.400000,0.800000,1.000000,3.211586,3.221546,2.197401,3.211586
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970333.000000,1.000000,13.000000,1777970348.443573,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.200000,972.800000,1.000000,1.200000,0.400000,324.000000,0.300000,0.400000,-0.848875,-0.848289,-0.901388,-0.848875
c2__http-low__60s__20260505_113840__R1_egress,http-low,1777970334.000000,1.000000,14.000000,1777970348.443573,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.200000,972.800000,1.000000,1.200000,-0.200000,-162.400000,-0.200000,-0.200000,-0.797724,-0.797200,-0.844441,-0.797724
