capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970469.000000,1.000000,0.000000,1777970497.611650,normal,http,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,2.000000,1624.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970470.000000,1.000000,1.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.000000,812.000000,1.000000,1.000000,-2.000000,-1624.000000,-2.000000,-2.000000,0.000000,0.000000,0.000000,0.000000
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970471.000000,1.000000,2.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.666667,541.333333,0.666667,0.666667,-1.000000,-812.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970472.000000,1.000000,3.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.500000,406.000000,0.500000,0.500000,-0.600000,-487.200000,-0.600000,-0.600000,0.000000,0.000000,0.000000,0.000000
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970473.000000,1.000000,4.000000,1777970497.611650,normal,http,2,204,2.000000,1632.000000,102.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.800000,651.200000,0.800000,0.800000,0.000000,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970474.000000,1.000000,5.000000,1777970497.611650,normal,http,4,407,4.000000,3256.000000,101.750000,4,0,0,1.000000,0.000000,0.000000,0,4,0,0.000000,1.000000,0.000000,3,3,3,3,4,0.666667,4,4,2,3,10.000000,1.200000,977.600000,1.000000,1.200000,1.000000,814.400000,0.800000,1.000000,3.265986,3.265970,2.245366,3.265986
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970475.000000,1.000000,6.000000,1777970497.611650,normal,http,4,407,4.000000,3256.000000,101.750000,4,0,0,1.000000,0.000000,0.000000,0,4,0,0.000000,1.000000,0.000000,3,3,3,3,4,0.666667,4,4,2,2,5.000000,2.000000,1628.800000,1.600000,2.000000,1.200000,976.800000,0.900000,1.200000,1.788854,1.788851,1.510966,1.788854
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970476.000000,1.000000,7.000000,1777970497.611650,normal,http,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,2.400000,1953.600000,2.000000,2.400000,0.600000,487.200000,0.500000,0.600000,0.171499,0.168549,0.441726,0.171499
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970477.000000,1.000000,8.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,2.400000,1953.600000,2.000000,2.400000,-0.600000,-489.600000,-0.500000,-0.600000,-1.120897,-1.120572,-1.224745,-1.120897
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970478.000000,1.000000,9.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,2.000000,1627.200000,1.600000,2.000000,-1.200000,-976.800000,-0.900000,-1.200000,-0.989949,-0.989698,-1.069045,-0.989949
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970479.000000,1.000000,10.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.200000,976.000000,1.000000,1.200000,-1.000000,-813.600000,-0.800000,-1.000000,-0.896258,-0.896051,-0.960769,-0.896258
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970480.000000,1.000000,11.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,-0.400000,-324.800000,-0.400000,-0.400000,-0.824958,-0.824780,-0.879883,-0.824958
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970481.000000,1.000000,12.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.768350,-0.768193,-0.816497,-0.768350
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970482.000000,1.000000,13.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.721995,-0.721854,-0.765092,-0.721995
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970483.000000,1.000000,14.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.683130,-0.683001,-0.722315,-0.683130
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970484.000000,1.000000,15.000000,1777970497.611650,normal,http,2,204,2.000000,1632.000000,102.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.400000,326.400000,0.400000,0.400000,0.400000,326.400000,0.400000,0.400000,0.742781,0.746557,1.028992,0.742781
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970485.000000,1.000000,16.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,326.400000,0.400000,0.400000,0.200000,163.200000,0.200000,0.200000,-0.707107,-0.707106,-0.750479,-0.707107
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970486.000000,1.000000,17.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,326.400000,0.400000,0.400000,0.000000,0.000000,0.000000,0.000000,-0.676123,-0.676122,-0.716302,-0.676123
c2__http-medium__60s__20260505_114109__R1_egress,http-medium,1777970487.000000,1.000000,18.000000,1777970497.611650,normal,http,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,326.400000,0.400000,0.400000,-0.200000,-163.200000,-0.200000,-0.200000,-0.648886,-0.648885,-0.686406,-0.648886
