capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970833.000000,1.000000,0.000000,1777970861.551910,normal,mixed,2,204,2.000000,1632.000000,102.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,2.000000,1632.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970834.000000,1.000000,1.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.000000,816.000000,1.000000,1.000000,-2.000000,-1632.000000,-2.000000,-2.000000,0.000000,0.000000,0.000000,0.000000
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970835.000000,1.000000,2.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.666667,544.000000,0.666667,0.666667,-1.000000,-816.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970836.000000,1.000000,3.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.500000,408.000000,0.500000,0.500000,-0.600000,-489.600000,-0.600000,-0.600000,0.000000,0.000000,0.000000,0.000000
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970837.000000,1.000000,4.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,326.400000,0.400000,0.400000,-0.400000,-326.400000,-0.400000,-0.400000,0.000000,0.000000,0.000000,0.000000
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970838.000000,1.000000,5.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-0.500000,-0.500000,-0.500000
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970839.000000,1.000000,6.000000,1777970861.551910,normal,mixed,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.400000,324.800000,0.400000,0.400000,0.400000,324.800000,0.400000,0.400000,2.236068,2.222915,2.236068,2.236068
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970840.000000,1.000000,7.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,0.200000,162.400000,0.200000,0.200000,-0.632456,-0.632453,-0.632456,-0.632456
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970841.000000,1.000000,8.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,0.000000,0.000000,0.000000,0.000000,-0.577350,-0.577348,-0.577350,-0.577350
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970842.000000,1.000000,9.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,-0.200000,-162.400000,-0.200000,-0.200000,-0.534522,-0.534520,-0.534522,-0.534522
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970843.000000,1.000000,10.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,-0.400000,-324.800000,-0.400000,-0.400000,-0.500000,-0.499998,-0.500000,-0.500000
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970844.000000,1.000000,11.000000,1777970861.551910,normal,mixed,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.400000,324.800000,0.400000,0.400000,0.400000,324.800000,0.400000,0.400000,2.121320,2.114942,2.121320,2.121320
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970845.000000,1.000000,12.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,0.200000,162.400000,0.200000,0.200000,-0.577350,-0.577348,-0.577350,-0.577350
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970846.000000,1.000000,13.000000,1777970861.551910,normal,mixed,6,611,6.000000,4888.000000,101.833333,6,0,0,1.000000,0.000000,0.000000,0,6,0,0.000000,1.000000,0.000000,4,4,4,4,6,0.750000,6,6,3,2,3.333333,1.600000,1302.400000,1.200000,1.600000,1.200000,977.600000,0.800000,1.200000,6.572671,6.584320,4.199206,6.572671
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970847.000000,1.000000,14.000000,1777970861.551910,normal,mixed,4,403,4.000000,3224.000000,100.750000,4,0,0,1.000000,0.000000,0.000000,0,4,0,0.000000,1.000000,0.000000,3,3,3,3,4,0.666667,4,4,2,2,5.000000,2.400000,1947.200000,1.800000,2.400000,1.200000,971.200000,0.800000,1.200000,1.914854,1.889915,1.872658,1.914854
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970848.000000,1.000000,15.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,2.400000,1947.200000,1.800000,2.400000,0.000000,-2.400000,-0.100000,0.000000,-0.603023,-0.602761,-0.661683,-0.603023
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970849.000000,1.000000,16.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,2.000000,1622.400000,1.400000,2.000000,-0.600000,-488.800000,-0.400000,-0.600000,-0.577350,-0.577105,-0.632082,-0.577350
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970850.000000,1.000000,17.000000,1777970861.551910,normal,mixed,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,2.400000,1945.600000,1.800000,2.400000,-1.200000,-976.800000,-0.700000,-1.200000,0.624038,0.617974,0.979130,0.624038
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970851.000000,1.000000,18.000000,1777970861.551910,normal,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.200000,968.000000,1.000000,1.200000,-0.600000,-483.200000,-0.400000,-0.600000,-0.600000,-0.599545,-0.662266,-0.600000
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970852.000000,1.000000,19.000000,1777970861.551910,pre_attack,mixed,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.800000,646.400000,0.800000,0.800000,0.400000,323.200000,0.400000,0.400000,0.642824,0.636999,0.977176,0.642824
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970853.000000,1.000000,20.000000,1777970861.551910,pre_attack,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,646.400000,0.800000,0.800000,0.000000,0.000000,0.000000,0.000000,-0.620174,-0.619554,-0.687746,-0.620174
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970854.000000,1.000000,21.000000,1777970861.551910,pre_attack,mixed,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,646.400000,0.800000,0.800000,-0.400000,-323.200000,-0.400000,-0.400000,-0.599760,-0.599171,-0.663738,-0.599760
c2__mixed__60s__20260505_114713__R1_egress,mixed,1777970855.000000,1.000000,22.000000,1777970861.551910,pre_attack,mixed,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.800000,648.000000,0.800000,0.800000,0.200000,163.200000,0.200000,0.200000,0.697486,0.698072,1.019776,0.697486
