capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970129.000000,1.000000,0.000000,1777970157.694453,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970130.000000,1.000000,1.000000,1777970157.694453,normal,tcp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.000000,812.000000,1.000000,1.000000,2.000000,1624.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970131.000000,1.000000,2.000000,1777970157.694453,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.666667,541.333333,0.666667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970132.000000,1.000000,3.000000,1777970157.694453,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.500000,406.000000,0.500000,0.500000,-0.200000,-162.400000,-0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970133.000000,1.000000,4.000000,1777970157.694453,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,-0.200000,-162.400000,-0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970134.000000,1.000000,5.000000,1777970157.694453,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,-0.400000,-324.800000,-0.400000,-0.400000,-0.500000,-0.500000,-0.500000,-0.500000
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970135.000000,1.000000,6.000000,1777970157.694453,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.447214,-0.447214,-0.447214,-0.447214
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970136.000000,1.000000,7.000000,1777970157.694453,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.408248,-0.408248,-0.408248,-0.408248
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970137.000000,1.000000,8.000000,1777970157.694453,normal,tcp,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.400000,323.200000,0.400000,0.400000,0.400000,323.200000,0.400000,0.400000,2.645751,2.630856,2.645751,2.645751
c2__tcp-high__60s__20260505_113529__R1_egress,tcp-high,1777970138.000000,1.000000,9.000000,1777970157.694453,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,323.200000,0.400000,0.400000,0.200000,161.600000,0.200000,0.200000,-0.534522,-0.534520,-0.534522,-0.534522
