capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969981.000000,1.000000,0.000000,1777970009.724609,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969982.000000,1.000000,1.000000,1777970009.724609,normal,tcp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.000000,812.000000,1.000000,1.000000,2.000000,1624.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969983.000000,1.000000,2.000000,1777970009.724609,normal,tcp,2,201,2.000000,1608.000000,100.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.333333,1077.333333,1.333333,1.333333,1.000000,804.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969984.000000,1.000000,3.000000,1777970009.724609,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.000000,808.000000,1.000000,1.000000,0.000000,-1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969985.000000,1.000000,4.000000,1777970009.724609,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,646.400000,0.800000,0.800000,-0.200000,-162.400000,-0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969986.000000,1.000000,5.000000,1777970009.724609,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,646.400000,0.800000,0.800000,-0.600000,-485.600000,-0.600000,-0.600000,-0.816497,-0.816480,-0.816497,-0.816497
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969987.000000,1.000000,6.000000,1777970009.724609,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,321.600000,0.400000,0.400000,-0.400000,-321.600000,-0.400000,-0.400000,-0.707107,-0.707094,-0.707107,-0.707107
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969988.000000,1.000000,7.000000,1777970009.724609,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632456,-0.632445,-0.632456,-0.632456
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969989.000000,1.000000,8.000000,1777970009.724609,normal,tcp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.400000,324.800000,0.400000,0.400000,0.400000,324.800000,0.400000,0.400000,1.732051,1.743455,1.732051,1.732051
c2__tcp-medium__60s__20260505_113301__R1_egress,tcp-medium,1777969990.000000,1.000000,9.000000,1777970009.724609,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,0.200000,162.400000,0.200000,0.200000,-0.707107,-0.707095,-0.707107,-0.707107
