capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969714.000000,1.000000,0.000000,1777969742.708570,normal,udp,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,2.000000,1616.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969715.000000,1.000000,1.000000,1777969742.708570,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.000000,808.000000,1.000000,1.000000,-2.000000,-1616.000000,-2.000000,-2.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969716.000000,1.000000,2.000000,1777969742.708570,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.666667,538.666667,0.666667,0.666667,-1.000000,-808.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969717.000000,1.000000,3.000000,1777969742.708570,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.500000,404.000000,0.500000,0.500000,-0.600000,-484.800000,-0.600000,-0.600000,0.000000,0.000000,0.000000,0.000000
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969718.000000,1.000000,4.000000,1777969742.708570,normal,udp,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.800000,646.400000,0.800000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969719.000000,1.000000,5.000000,1777969742.708570,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,323.200000,0.400000,0.400000,0.200000,161.600000,0.200000,0.200000,-0.816497,-0.816497,-0.816497,-0.816497
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969720.000000,1.000000,6.000000,1777969742.708570,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,323.200000,0.400000,0.400000,0.000000,0.000000,0.000000,0.000000,-0.707107,-0.707107,-0.707107,-0.707107
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969721.000000,1.000000,7.000000,1777969742.708570,normal,udp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.800000,648.000000,0.800000,0.800000,0.200000,163.200000,0.200000,0.200000,1.581139,1.592097,1.581139,1.581139
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969722.000000,1.000000,8.000000,1777969742.708570,normal,udp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.200000,972.800000,1.200000,1.200000,0.200000,164.000000,0.200000,0.200000,1.290994,1.297795,1.290994,1.290994
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969723.000000,1.000000,9.000000,1777969742.708570,normal,udp,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.200000,972.800000,1.200000,1.200000,0.600000,485.600000,0.600000,0.600000,1.118034,1.113059,1.118034,1.118034
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969724.000000,1.000000,10.000000,1777969742.708570,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.200000,972.800000,1.200000,1.200000,0.000000,-0.800000,0.000000,0.000000,-1.000000,-0.999994,-1.000000,-1.000000
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969725.000000,1.000000,11.000000,1777969742.708570,normal,udp,4,406,4.000000,3248.000000,101.500000,4,0,0,1.000000,0.000000,0.000000,0,4,0,0.000000,1.000000,0.000000,3,3,3,3,4,0.666667,4,4,2,2,5.000000,2.000000,1622.400000,1.800000,2.000000,0.200000,162.400000,0.000000,0.200000,3.103761,3.115651,2.099603,3.103761
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969726.000000,1.000000,12.000000,1777969742.708570,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.600000,1297.600000,1.400000,1.600000,-0.200000,-161.600000,-0.300000,-0.200000,-0.911322,-0.910534,-0.971666,-0.911322
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969727.000000,1.000000,13.000000,1777969742.708570,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.200000,972.800000,1.000000,1.200000,-0.400000,-323.200000,-0.400000,-0.400000,-0.848875,-0.848185,-0.901388,-0.848875
c2__udp-high__60s__20260505_112834__R1_egress,udp-high,1777969728.000000,1.000000,14.000000,1777969742.708570,normal,udp,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.200000,972.800000,1.000000,1.200000,0.000000,-1.600000,0.100000,0.000000,0.797724,0.792610,0.974355,0.797724
