capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969380.000000,1.000000,0.000000,1777969414.973508,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969381.000000,1.000000,1.000000,1777969414.973508,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969382.000000,1.000000,2.000000,1777969414.973508,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969383.000000,1.000000,3.000000,1777969414.973508,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969384.000000,1.000000,4.000000,1777969414.973508,normal,udp,18,1546,18.000000,12368.000000,85.888889,18,0,0,1.000000,0.000000,0.000000,4,16,0,0.222222,0.888889,0.250000,3,3,3,3,4,0.666667,18,4,2,3,10.000000,3.600000,2473.600000,0.600000,0.800000,3.600000,2473.600000,0.600000,0.800000,0.000000,0.000000,0.000000,0.000000
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969385.000000,1.000000,5.000000,1777969414.973508,normal,udp,27,2321,27.000000,18568.000000,85.962963,27,0,0,1.000000,0.000000,0.000000,6,24,0,0.222222,0.888889,0.250000,4,4,4,4,6,0.750000,27,6,3,3,6.296296,9.000000,6187.200000,1.400000,2.000000,7.200000,4950.400000,1.100000,1.600000,3.250000,3.253234,2.833333,3.250000
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969386.000000,1.000000,6.000000,1777969414.973508,normal,udp,36,3094,36.000000,24752.000000,85.944444,36,0,0,1.000000,0.000000,0.000000,8,32,0,0.222222,0.888889,0.250000,5,5,5,5,8,0.800000,36,8,4,2,2.500000,16.200000,11137.600000,2.400000,3.600000,9.900000,6807.200000,1.400000,2.200000,2.609851,2.609971,2.288586,2.609851
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969387.000000,1.000000,7.000000,1777969414.973508,normal,udp,8,707,8.000000,5656.000000,88.375000,8,0,0,1.000000,0.000000,0.000000,2,7,0,0.250000,0.875000,0.285714,2,2,2,2,2,0.500000,8,2,1,2,10.000000,17.800000,12268.800000,2.800000,4.000000,3.400000,2369.600000,0.600000,0.800000,-0.251488,-0.235496,0.139347,-0.181071
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969388.000000,1.000000,8.000000,1777969414.973508,normal,udp,28,2389,28.000000,19112.000000,85.321429,28,0,0,1.000000,0.000000,0.000000,6,25,0,0.214286,0.892857,0.240000,4,5,4,5,7,0.750000,28,7,4,3,6.428571,23.400000,16091.200000,3.600000,5.400000,0.100000,57.600000,0.000000,0.200000,1.265335,1.248639,1.171700,1.521278
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969389.000000,1.000000,9.000000,1777969414.973508,normal,udp,9,775,9.000000,6200.000000,86.111111,9,0,0,1.000000,0.000000,0.000000,2,8,0,0.222222,0.888889,0.250000,2,2,2,2,2,0.500000,9,2,1,2,10.000000,21.600000,14857.600000,3.400000,5.000000,-4.400000,-3037.600000,-0.500000,-0.900000,-0.293119,-0.292700,0.000000,-0.319801
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969390.000000,1.000000,10.000000,1777969414.973508,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,16.200000,11144.000000,2.600000,3.800000,-7.100000,-4896.000000,-1.000000,-1.600000,-0.969116,-0.971780,-1.084652,-0.972629
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969391.000000,1.000000,11.000000,1777969414.973508,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,9.000000,6193.600000,1.600000,2.200000,-4.400000,-3042.400000,-0.800000,-1.100000,-0.886928,-0.889174,-0.982946,-0.889889
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969392.000000,1.000000,12.000000,1777969414.973508,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,7.400000,5062.400000,1.200000,1.800000,-6.500000,-4442.400000,-1.000000,-1.600000,-0.822634,-0.824588,-0.905357,-0.825210
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969393.000000,1.000000,13.000000,1777969414.973508,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.800000,1240.000000,0.400000,0.400000,-1.800000,-1240.000000,-0.400000,-0.400000,-0.770559,-0.772299,-0.843649,-0.772853
c2__udp-low__60s__20260505_112247__R1_egress,udp-low,1777969394.000000,1.000000,14.000000,1777969414.973508,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.727267,-0.728842,-0.793052,-0.729343
