capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969590.000000,1.000000,0.000000,1777969618.663433,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969591.000000,1.000000,1.000000,1777969618.663433,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969592.000000,1.000000,2.000000,1777969618.663433,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969593.000000,1.000000,3.000000,1777969618.663433,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969594.000000,1.000000,4.000000,1777969618.663433,normal,udp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.400000,324.800000,0.400000,0.400000,0.400000,324.800000,0.400000,0.400000,0.000000,0.000000,0.000000,0.000000
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969595.000000,1.000000,5.000000,1777969618.663433,normal,udp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.800000,649.600000,0.800000,0.800000,0.600000,487.200000,0.600000,0.600000,2.000000,2.000000,2.000000,2.000000
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969596.000000,1.000000,6.000000,1777969618.663433,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,649.600000,0.800000,0.800000,0.200000,162.400000,0.200000,0.200000,-0.707107,-0.707107,-0.707107,-0.707107
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969597.000000,1.000000,7.000000,1777969618.663433,normal,udp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,649.600000,0.800000,0.800000,-0.200000,-162.400000,-0.200000,-0.200000,-0.632456,-0.632456,-0.632456,-0.632456
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969598.000000,1.000000,8.000000,1777969618.663433,normal,udp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.200000,974.400000,1.200000,1.200000,-0.200000,-162.400000,-0.200000,-0.200000,1.732051,1.732051,1.732051,1.732051
c2__udp-medium__60s__20260505_112630__R1_egress,udp-medium,1777969599.000000,1.000000,9.000000,1777969618.663433,normal,udp,4,407,4.000000,3256.000000,101.750000,4,0,0,1.000000,0.000000,0.000000,0,4,0,0.000000,1.000000,0.000000,3,3,3,3,4,0.666667,4,4,2,2,5.000000,1.600000,1300.800000,1.400000,1.600000,0.600000,488.800000,0.400000,0.600000,3.535534,3.545984,2.474874,3.535534
