capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
normal_only__120s__20260505_120657__R1_egress,none,1777972017.000000,1.000000,0.000000,,normal,none,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
normal_only__120s__20260505_120657__R1_egress,none,1777972018.000000,1.000000,1.000000,,normal,none,14,1329,14.000000,10632.000000,94.928571,12,0,2,0.857143,0.000000,0.142857,2,11,0,0.166667,0.916667,0.181818,4,4,2,2,4,0.250000,0,0,0,4,10.000000,7.000000,5316.000000,2.000000,2.000000,14.000000,10632.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
normal_only__120s__20260505_120657__R1_egress,none,1777972019.000000,1.000000,2.000000,,normal,none,16,1525,16.000000,12200.000000,95.312500,12,0,4,0.750000,0.000000,0.250000,2,11,0,0.166667,0.916667,0.181818,5,5,2,2,6,0.400000,0,0,0,5,10.000000,10.000000,7610.666667,3.000000,3.333333,8.000000,6100.000000,2.500000,3.000000,0.000000,0.000000,0.000000,0.000000
normal_only__120s__20260505_120657__R1_egress,none,1777972020.000000,1.000000,3.000000,,normal,none,26,2398,26.000000,19184.000000,92.230769,26,0,0,1.000000,0.000000,0.000000,4,24,0,0.153846,0.923077,0.166667,3,3,3,3,4,0.666667,0,0,0,3,10.000000,14.000000,10504.000000,3.000000,3.500000,8.000000,5912.000000,1.000000,1.400000,0.000000,0.000000,0.000000,0.000000
normal_only__120s__20260505_120657__R1_egress,none,1777972021.000000,1.000000,4.000000,,normal,none,2,196,2.000000,1568.000000,98.000000,0,0,2,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,2,2,0,0,2,0.500000,0,0,0,2,10.000000,11.600000,8716.800000,2.800000,3.200000,1.600000,1168.800000,0.300000,0.400000,0.000000,0.000000,0.000000,0.000000
normal_only__120s__20260505_120657__R1_egress,none,1777972022.000000,1.000000,5.000000,,normal,none,2,196,2.000000,1568.000000,98.000000,0,0,2,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,2,2,0,0,2,0.500000,0,0,0,2,10.000000,12.000000,9030.400000,3.200000,3.600000,-3.800000,-2876.000000,-0.700000,-0.800000,-1.001741,-1.006073,-0.464991,-0.588348
normal_only__120s__20260505_120657__R1_egress,none,1777972023.000000,1.000000,6.000000,,normal,none,12,1133,12.000000,9064.000000,94.416667,12,0,0,1.000000,0.000000,0.000000,2,11,0,0.166667,0.916667,0.181818,2,2,2,2,2,0.500000,0,0,0,2,10.000000,11.600000,8716.800000,2.800000,3.200000,-3.200000,-2388.800000,-0.700000,-1.000000,0.211604,0.219422,-0.417029,-0.522233
normal_only__120s__20260505_120657__R1_egress,none,1777972024.000000,1.000000,7.000000,,normal,none,30,2790,30.000000,22320.000000,93.000000,26,0,4,0.866667,0.000000,0.133333,4,24,0,0.153846,0.923077,0.166667,6,6,3,3,8,0.333333,0,0,0,6,10.000000,14.400000,10740.800000,3.000000,3.600000,1.800000,1376.800000,0.600000,0.800000,2.245759,2.237306,2.288310,2.846050
normal_only__120s__20260505_120657__R1_egress,none,1777972025.000000,1.000000,8.000000,,normal,none,2,196,2.000000,1568.000000,98.000000,0,0,2,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,2,2,0,0,2,0.500000,0,0,0,2,10.000000,9.600000,7217.600000,2.800000,3.200000,2.800000,2075.200000,0.400000,0.600000,-1.025264,-1.029517,-0.554700,-0.625543
normal_only__120s__20260505_120657__R1_egress,none,1777972026.000000,1.000000,9.000000,,normal,none,16,1525,16.000000,12200.000000,95.312500,12,0,4,0.750000,0.000000,0.250000,2,11,0,0.166667,0.916667,0.181818,5,5,2,2,6,0.400000,0,0,0,5,10.000000,12.400000,9344.000000,3.400000,4.000000,1.800000,1376.800000,0.600000,0.800000,0.425436,0.454737,1.221366,1.154701
normal_only__120s__20260505_120657__R1_egress,none,1777972027.000000,1.000000,10.000000,,normal,none,2,196,2.000000,1568.000000,98.000000,0,0,2,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,2,2,0,0,2,0.500000,0,0,0,2,10.000000,12.400000,9344.000000,3.400000,4.000000,-3.400000,-2511.200000,-0.100000,-0.200000,-1.000000,-1.005336,-0.625768,-0.685994
normal_only__120s__20260505_120657__R1_egress,none,1777972028.000000,1.000000,11.000000,,normal,none,2,196,2.000000,1568.000000,98.000000,0,0,2,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,2,2,0,0,2,0.500000,0,0,0,2,10.000000,10.400000,7844.800000,3.400000,4.000000,-5.600000,-4150.400000,-0.800000,-1.200000,-0.912871,-0.917333,-0.586302,-0.640513
normal_only__120s__20260505_120657__R1_egress,none,1777972029.000000,1.000000,12.000000,,normal,none,4,392,4.000000,3136.000000,98.000000,0,0,4,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,3,3,0,0,4,0.666667,0,0,0,3,10.000000,5.200000,4008.000000,2.800000,3.200000,-1.000000,-749.600000,-0.100000,0.000000,-0.642317,-0.634941,0.050315,0.301511
normal_only__120s__20260505_120657__R1_egress,none,1777972030.000000,1.000000,13.000000,,normal,none,15,1395,15.000000,11160.000000,93.000000,13,0,2,0.866667,0.000000,0.133333,2,12,0,0.153846,0.923077,0.166667,4,4,2,2,4,0.250000,0,0,0,4,10.000000,7.800000,5926.400000,3.200000,3.600000,0.000000,-51.200000,-0.100000,-0.200000,0.535606,0.522158,0.676716,0.288675
normal_only__120s__20260505_120657__R1_egress,none,1777972031.000000,1.000000,14.000000,,normal,none,26,2398,26.000000,19184.000000,92.230769,26,0,0,1.000000,0.000000,0.000000,4,24,0,0.153846,0.923077,0.166667,3,3,3,3,4,0.666667,0,0,0,3,10.000000,9.800000,7323.200000,2.800000,3.200000,6.100000,4482.400000,0.400000,0.600000,1.685256,1.652485,0.000000,0.277350
normal_only__120s__20260505_120657__R1_egress,none,1777972032.000000,1.000000,15.000000,,normal,none,13,1199,13.000000,9592.000000,92.230769,13,0,0,1.000000,0.000000,0.000000,2,12,0,0.153846,0.923077,0.166667,2,2,2,2,2,0.500000,0,0,0,2,10.000000,12.000000,8928.000000,2.800000,3.200000,4.400000,3209.600000,0.000000,0.000000,0.175636,0.154835,-0.664211,-0.734968
normal_only__120s__20260505_120657__R1_egress,none,1777972033.000000,1.000000,16.000000,,normal,none,4,392,4.000000,3136.000000,98.000000,0,0,4,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,3,3,0,0,4,0.666667,0,0,0,3,10.000000,12.400000,9241.600000,3.000000,3.600000,-0.200000,-156.800000,-0.200000,-0.200000,-0.771061,-0.762600,0.042295,0.318142
normal_only__120s__20260505_120657__R1_egress,none,1777972034.000000,1.000000,17.000000,,normal,none,2,196,2.000000,1568.000000,98.000000,0,0,2,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,2,2,0,0,2,0.500000,0,0,0,2,10.000000,12.000000,8928.000000,2.800000,3.200000,-4.800000,-3523.200000,-0.400000,-0.400000,-0.947155,-0.952103,-0.656488,-0.738549
normal_only__120s__20260505_120657__R1_egress,none,1777972035.000000,1.000000,18.000000,,normal,none,4,392,4.000000,3136.000000,98.000000,0,0,4,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,3,3,0,0,4,0.666667,0,0,0,3,10.000000,9.800000,7323.200000,2.600000,3.200000,-5.500000,-4012.000000,0.000000,0.000000,-0.685587,-0.677310,0.078811,0.353553
normal_only__120s__20260505_120657__R1_egress,none,1777972036.000000,1.000000,19.000000,,normal,none,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,4.600000,3486.400000,2.000000,2.400000,-2.600000,-1918.400000,-0.400000,-0.400000,-1.091085,-1.109320,-2.109154,-1.829318
normal_only__120s__20260505_120657__R1_egress,none,1777972037.000000,1.000000,20.000000,,normal,none,15,1395,15.000000,11160.000000,93.000000,13,0,2,0.866667,0.000000,0.133333,2,12,0,0.153846,0.923077,0.166667,4,4,2,2,4,0.250000,0,0,0,4,10.000000,5.000000,3800.000000,2.400000,2.800000,2.000000,1448.000000,0.000000,-0.200000,0.581149,0.573219,0.845154,0.412568
normal_only__120s__20260505_120657__R1_egress,none,1777972038.000000,1.000000,21.000000,,normal,none,4,392,4.000000,3136.000000,98.000000,0,0,4,0.000000,0.000000,1.000000,0,0,0,0.000000,0.000000,0.000000,3,3,0,0,4,0.666667,0,0,0,3,10.000000,5.000000,3800.000000,2.400000,2.800000,1.500000,1116.000000,0.300000,0.400000,-0.640781,-0.631165,0.129777,0.401004
